2013-01-11T18:29:27.680+0900: 236.176: [GC 236.176: [ParNew: 328922K->4374K(368640K), 0.0017770 secs] 329167K->4618K(1187840K), 0.0018340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:32.884+0900: 241.380: [GC 241.380: [ParNew: 332054K->3275K(368640K), 0.0017860 secs] 332298K->3520K(1187840K), 0.0022160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:38.116+0900: 246.612: [GC 246.613: [ParNew: 329550K->1526K(368640K), 0.0011470 secs] 329795K->1770K(1187840K), 0.0011960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:38.314+0900: 246.810: [GC 246.810: [ParNew: 328016K->4324K(368640K), 0.0018650 secs] 328261K->4568K(1187840K), 0.0019220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:43.519+0900: 252.015: [GC 252.015: [ParNew: 332004K->3225K(368640K), 0.0014550 secs] 332248K->3470K(1187840K), 0.0018740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:48.745+0900: 257.241: [GC 257.241: [ParNew: 330160K->1428K(368640K), 0.0008720 secs] 330404K->1672K(1187840K), 0.0009270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:48.940+0900: 257.436: [GC 257.436: [ParNew: 325151K->4274K(368640K), 0.0017550 secs] 325396K->4519K(1187840K), 0.0018140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:49.192+0900: 257.688: [GC 257.688: [ParNew: 328977K->5875K(368640K), 0.0024180 secs] 329221K->6120K(1187840K), 0.0024610 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2013-01-11T18:29:54.394+0900: 262.890: [GC 262.890: [ParNew: 333013K->3925K(368640K), 0.0016360 secs] 333257K->4169K(1187840K), 0.0016940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2013-01-11T18:29:54.638+0900: 263.134: [GC 263.134: [ParNew: 328053K->5623K(368640K), 0.0022950 secs] 328297K->5868K(1187840K), 0.0023520 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
